City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Simdega,IN,81.64,broken clouds,22.6167,84.5167,Circuit House
430,Domoni,KM,80.33,scattered clouds,-12.2569,44.5319,Al Djadid
442,Padang,ID,78.85,scattered clouds,-0.9492,100.3543,Mercure Padang
444,Digha,IN,79.9,broken clouds,21.6833,87.55,Khoniker Atithi
451,Maragogi,BR,77.34,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
461,Am Timan,TD,79.61,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
462,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
465,Itarema,BR,76.91,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
477,Biak,ID,84.06,overcast clouds,-0.9131,122.8766,Penginapan Kim
479,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
495,Razole,IN,81.61,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
496,Kudahuvadhoo,MV,81.55,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
501,Vao,NC,77.54,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
504,Bubaque,GW,76.14,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
505,Cururupu,BR,75.09,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
509,Maoming,CN,84.0,clear sky,21.65,110.9,Jinhui Hotel
510,Keti Bandar,PK,76.68,clear sky,24.1447,67.4497,Haji laloo memon house
524,Gambela,ET,80.04,broken clouds,8.25,34.5833,Solomon Debebe Hotel
527,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
533,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
534,Obregon,NI,87.89,broken clouds,11.9566,-85.9636,Hostal Casa Aryen
535,Manggar,ID,85.69,clear sky,-2.8833,108.2667,Guest Hotel
545,Kieta,PG,82.56,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
547,Del Rio,US,84.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
548,Correntina,BR,75.52,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
550,Parati,BR,78.91,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
553,Srisailam,IN,78.53,broken clouds,16.0833,78.8667,Vasavi Satram
554,Kendari,ID,86.04,broken clouds,-3.945,122.4989,Hotel Wixel
557,Yeppoon,AU,82.18,overcast clouds,-23.1333,150.7333,Villa Mar Colina
560,Punta,PH,81.5,overcast clouds,8.9897,125.34,Vyjannex boarding house
564,Acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
565,Nieuw Amsterdam,SR,80.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
567,Tual,ID,81.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
569,Cabatuan,PH,88.2,scattered clouds,10.8794,122.486,MVC Transient Room
575,Rantepao,ID,81.34,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
577,Emerald,AU,77.14,overcast clouds,-23.5333,148.1667,The Irish Village
578,Bhusawal,IN,85.46,scattered clouds,21.05,75.7667,Ganesh Park (Udita Construction)
580,Quatre Cocos,MU,76.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
583,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
592,Sumbe,AO,79.11,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
594,Jawhar,SO,78.22,clear sky,2.7809,45.5005,hantiwadaag village part one
596,Brownsville,US,75.2,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
597,Laguna,US,79.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
599,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
603,Cuiaba,BR,75.13,thunderstorm with light rain,-15.5961,-56.0967,Getúllio Hotel
607,Lhokseumawe,ID,82.24,clear sky,5.1801,97.1507,OYO 3278 Penginapan Alfajri
609,Puerto Wilches,CO,77.2,scattered clouds,7.3483,-73.896,Apartahotel Altamira
610,Takoradi,GH,80.19,light rain,4.8845,-1.7554,Raybow International Hotel
611,Yala,TH,82.9,clear sky,6.3333,101.25,งานแต่ง Murnee - Wahid
612,Japura,ID,85.5,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
615,Canovanas,PR,77.0,few clouds,18.3777,-65.9063,Motel Fantasy Star
620,Katherine,AU,89.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
622,Kuching,MY,82.62,few clouds,1.55,110.3333,Hilton Kuching
628,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
631,Baturaja,ID,82.08,light rain,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
633,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
638,Yanam,IN,80.4,broken clouds,16.7333,82.2167,The Regency Hotel
639,Malibu,US,83.25,overcast clouds,34.005,-118.8101,Malibu Country Inn
641,Gaoual,GN,78.8,clear sky,11.75,-13.2,Hotel koliba
643,Champerico,GT,82.87,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
644,Jati,PK,75.52,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
653,Ndjole,GA,75.54,overcast clouds,-0.1783,10.7649,Motel Kédyann
659,Auki,SB,82.9,overcast clouds,-8.7676,160.7034,Auki Motel
661,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
663,Alenquer,BR,75.54,few clouds,-1.9417,-54.7383,Detinha Hotel
671,Pahrump,US,84.25,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
674,Robertsport,LR,79.86,moderate rain,6.7533,-11.3686,Kwepunha Retreat
677,Karratha,AU,89.31,few clouds,-20.7377,116.8463,ibis Styles Karratha
678,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
679,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
680,Neiafu,TO,81.28,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
682,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
686,Kandrian,PG,89.91,broken clouds,-6.2167,149.55,Kandrian Station
