City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Tura,IN,25.5198,90.2201,70.88,92,82,6.08,broken clouds
214,Cabinda,AO,-5.55,12.2,74.93,93,100,10.25,moderate rain
215,Panjakent,TJ,39.4952,67.6093,57.33,40,100,7.9,overcast clouds
216,Czersk,PL,53.7959,17.9765,44.46,75,24,13.51,few clouds
217,Bonthe,SL,7.5264,-12.505,77.56,91,1,4.43,clear sky
218,Torbay,CA,47.6666,-52.7314,30.58,88,100,4.61,overcast clouds
219,Coahuayana,MX,18.7333,-103.6833,73.13,61,18,3.31,few clouds
220,Isakly,RU,54.1333,51.5333,31.15,98,100,5.41,overcast clouds
221,Geraldton,AU,-28.7667,114.6,75.61,94,100,11.5,overcast clouds
222,Namibe,AO,-15.1961,12.1522,71.62,81,39,8.79,scattered clouds
223,Carutapera,BR,-1.195,-46.02,75.78,94,100,5.35,overcast clouds
224,Vardo,NO,70.3705,31.1107,25.41,58,100,19.86,overcast clouds
225,Beaverlodge,CA,55.2166,-119.4361,31.35,92,100,7.43,overcast clouds
226,Villiers,ZA,-27.0303,28.6006,55.62,91,100,1.68,overcast clouds
227,Pangnirtung,CA,66.1451,-65.7125,13.35,93,100,5.35,overcast clouds
228,Puro,PH,12.4841,123.3827,85.26,67,7,9.66,clear sky
229,Meiningen,DE,50.5679,10.4152,36.32,60,0,2.93,clear sky
230,Dongzhen,CN,22.3797,110.9389,82.2,74,6,5.28,clear sky
231,Roald,NO,62.5833,6.1333,42.75,75,75,5.75,broken clouds
232,Berlevag,NO,70.8578,29.0864,22.8,65,100,18.68,light snow
233,Port Macquarie,AU,-31.4333,152.9167,66.09,100,75,3.44,light rain
234,Kaeo,NZ,-35.1,173.7833,77.32,61,88,6.78,overcast clouds
235,San Isidro,PE,-12.1167,-77.05,69.51,52,0,6.91,clear sky
236,Coos Bay,US,43.3665,-124.2179,58.32,86,0,9.22,clear sky
237,Egvekinot,RU,66.3167,-179.1667,8.08,84,84,1.7,broken clouds
238,Port Blair,IN,11.6667,92.75,77.04,94,20,2.3,mist
